label,cluster
Cleanliness,28
Mecha,29
Veterans Day,33
Garden buildings,37
Ingredient,10
Pink,15
Community,39
Driving,13
Hut,35
Sports Fan Jersey,12
Stunt,41
Event,39
Mouth,3
Leather jacket,12
Weight training,27
Cake decorating,19
Pipe,26
Hill station,11
Winter,33
Kennel club,35
Iron Man,16
Happiness,2
Natural material,18
Trunk,13
Electronics,49
Horse,21
Multimedia,49
Clip art,7
Star,14
Theatre,2
Sea,20
Intersection,29
Tea,29
Fender,5
Thorax,42
Acting,2
List of nonbuilding structure types,37
Lips,3
Trifle,3
Uniform,22
Shack,35
Protective gear in sports,45
Family reunion,35
Vegetable,10
Bicycle,8
Captain America,16
Shed,37
Craft,7
Crop,10
City car,13
Sleeve,12
Coffee,29
Home Door,35
Lens,6
Fast food,10
Kitchen utensil,10
Foot,22
Football helmet,44
Hairstyle,23
Output device,34
Sleeveless shirt,12
Insect,38
Pest,38
Helmet,44
White,15
Nail,36
Writing implement,7
Darkness,4
Cook,10
Sports venue,30
Labradoodle,24
Father's Day,33
Zombie,31
Toyota Estima,13
Rolling stock,46
Paper Product,7
Concept car,13
Footwear,22
Cricket cap,29
Facial expression,31
Machine,49
Christmas Day,33
Halter,16
Goggles,44
Sport utility vehicle,13
Bicycle frame,8
Barefoot,22
Fur,1
Comet,14
Helicopter Pilot,47
Infant,9
Debate,2
Soil,18
Headphones,5
Log cabin,17
Convention,2
Electronic signage,7
Head restraint,44
Demon,17
Throat,3
Ski Equipment,46
Mineral,26
Sandwich cookie,17
Toddler,9
Display device,34
Face,3
Individual sport,45
Automotive lighting,4
Eye shadow,4
Neon,15
Overpass,35
Sunrise,33
Youth,2
Shopping,2
Businessperson,16
Kit car,13
Wild carrot,3
Horse tack,28
Photobombing,6
High-rise building,37
Natural foods,25
Eating,10
Pebble,9
Pizza cheese,48
Computer,49
Kitten,38
Hybrid vehicle,13
Audience,2
Artificial nails,36
Fixed-wing aircraft,47
Beak,38
Condiment,10
Cousin,9
Collage,18
Jet aircraft,47
Persian cat,38
Golden Retriever,24
Broadcasting,2
Guitarist,5
Hardwood,18
Muscle,27
Automotive Tire,8
Sun hat,44
Leutor,38
Eyebrow,23
Daybed,33
Fur clothing,1
Eye,3
Ring binder,36
Plastic bottle,43
Text,49
Box,9
Bumper,3
Smoke,40
Lingerie Top,19
Flower Arranging,19
Shorts,22
PC game,39
Social group,39
Boot,22
Horse Supplies,46
Horse trainer,27
Flat-panel display,4
Honeymoon,2
Auto mechanic,13
Patient,39
Plank,20
Photo caption,6
Rein,39
Nail polish,36
Justice League,16
Wig,23
Facial hair,23
Money,2
Stationery,7
Tyrannosaurus,38
Plush,9
Pack animal,21
Jheri curl,17
Physical fitness,27
Go-go dancing,5
Ball,45
Clay,18
Garage,13
Beach,20
Drawing,7
Mollusca,38
Polar bear,42
Jaw,3
Cartoon,9
Earring,5
Ice cap,29
Wonder Woman,16
Household Cleaning Supply,46
Stadium,30
Mythology,2
Formal wear,19
Nightclub,35
Science,2
Crop top,6
Cumulus,42
Erosion,11
Office Instrument,5
Whiskers,28
Fin,36
Motorsport,13
Racing,45
Spring break,33
Dreadlocks,28
Choreography,5
Heat,39
Water bottle,43
Sunset,33
Fried food,10
Notebook,49
Bride,19
Telephony,34
Mining,18
Chordophone,5
Fedora,38
Baby & Toddler Clothing,19
Mug,29
Motor vehicle,13
Duck meat,25
Headgear,44
Military Officer,16
Album,5
Laptop,49
Fissure vent,26
Gift,9
Agriculture,10
Hip-hop dance,5
Cross-country skiing,45
Aerospace manufacturer,47
Jersey,35
Horn,5
Sports,45
Ghost,31
Steel,28
Curtained hair,23
competition event,45
Rapper,16
Security guard,16
Performance car,13
Body Jewelry,19
Cheering,31
Player,39
equestrian sport,45
Hug,31
Car,13
Cosmetics,44
Pop music,5
Animal training,21
